評鑑內容代碼,概念,學習指引,公告試題（場次 科目 題號（官方答案，出現位置））,判定（題幹或正解出現才算考過）,建議分層,相對 v0.2.0
L21103,RLHF 與對齊方法,科目一 3-72（一句帶過）,無,未考過,官方補充,不變
L21202,CRISP-DM 六階段,無,無,未考過,產業延伸,不變（R4 已定：移入延伸框）
L21302,PSI（族群穩定度指標）,無,114-2 L21 Q32（D，正解）,考過 1 題（另 2 題只出現在否定題的非正解選項，不計）,核心必考,升級
L21302,金絲雀發布,科目一 5-21；科目二 6-6,115-1 L21 Q43（C，正解）,考過 1 題,核心必考,升級
L21302,影子部署（Shadow Mode）,無,只出現在 115-1 L21 Q43 的錯誤選項,未考過,產業延伸,降級
L21203 等,人工智慧基本法、風險分類框架、金管會 AI 指引、行政院生成式 AI 指引,無（指引早於基本法與框架）,六份考卷皆無；只有泛稱主管機關或監理單位的情境題（114-2 L21 Q30、115-1 L21 Q26）與提到個資法的一題（114-2 L22 Q32）,未考過,官方補充｜政府實務，註明「指引後新法規，待公告試題驗證」,不變（R4 例外規則）
L22202,資料湖 vs 資料倉儲,科目二 4-9～4-16；科目一 5-14,114-2 L22 Q19（C）、Q24（A）；115-1 L21 Q39（A）、Q20（A）；115-1 L22 Q36（D）,考過 5 題,核心必考,升級（L21 冊須補）
L22202,ACID 與交易,科目二 4-10、4-13、4-16,114-2 L22 Q07（C）、Q18（A）,考過 2 題,核心必考,升級（書僅 1 處提及）
L22202,資料庫選型（文件型／向量／關聯式）,科目二 4-10、4-14、4-30、4-32,115-1 L22 Q13（B）,考過 1 題,核心必考,新增
L22202,OLTP／OLAP、CAP 定理,無,無,未考過,產業延伸,降級
L22202,欄式儲存（Parquet／ORC）,科目二 4-14（指引稱「列式儲存」）,無,指引有、未考過,官方補充＋用語衝突註記,見第六輪 Q1
L22302,關聯規則三指標與 Apriori,科目三 4-48～4-50；科目二 5-48～5-49,114-2 L22 Q26（C）；115-1 L22 Q18（D）、Q19（D，含圖表計算）,考過 3 題,核心必考,升級；更正我先前「指引無三指標」的說法
L22302、L23303,PR 曲線／PR-AUC,無,115-1 L22 Q17（D，正解含 PR-AUC）,考過 1 題,核心必考,升級
L23304,網格搜尋／隨機搜尋,無（科目三 4-70、4-84 的「網格」指網格狀資料）,114-2 L21 Q36（B）；114-2 L23 Q11（D）；115-1 L23 Q34（D，組合數計算）,考過 3 題,核心必考,升級（L21 冊須補）
L23304,巢狀交叉驗證,無,名稱未出現；114-2 L21 Q41（A）考它要解決的問題（調參與評估共用同一組折造成樂觀偏差）,考過 1 題（概念）,核心必考（以「為何需要巢狀 CV」切入）,升級
L23401,對抗性攻擊與防禦,無,114-2 L21 Q24（D，題幹）,考過 1 題（L21 卷）,核心必考,升級（L21 冊須補）
L23401,成員推論攻擊,無,115-1 L22 Q37（A，題幹＋正解）,考過 1 題（L22 卷）,核心必考,升級（L22 冊已有）
L23401,模型竊取,無,只出現在 115-1 L22 Q37 的錯誤選項,未考過,產業延伸,降級
L23401,資料毒化、模型反演、提示注入、越獄、護欄,無,無,未考過,產業延伸,降級
L23402,統計均等（指引稱「群體平等率」）,科目三 6-17,115-1 L23 Q38（C，題幹＋正解）,考過 1 題＋指引有,核心必考,升級
L23402,機會均等、均等賠率（指引稱「均衡機率」）,科目三 6-18,名稱未出現；115-1 L23 Q39 題幹描述「有還款能力卻被拒」的群體差異,指引有專節,核心必考,升級；更正我先前「指引 0 次」的說法
L23402,去偏三階段（前處理／訓練中／後處理）,科目三 6-19 起,115-1 L23 Q39（A，正解為訓練中加公平性懲罰）,考過 1 題,核心必考,確認
L23402,不可能定理、反事實解釋、代理變數,無,無,未考過,產業延伸,降級
