冊	PDF頁	標題後剩餘非空行數	頁尾文字	狀態
L21	13	3	1.2 應用規劃與決策流程	待人工確認
L21	13	2	1.2.1 NLP專案的選型決策	待人工確認
L21	29	3	模擬題 SIM-L21102-003	待人工確認
L21	29	2	模擬題 SIM-L21102-003 ｜ 選型題 ｜ 難度：中級 ｜ 對應 L21102	待人工確認
L21	42	3	模擬題 SIM-L21103-003 ｜ 觀念題（反向） ｜ 難度：中級 ｜ 對應 L21103	待人工確認
L21	45	3	3.7.2 必背名詞	待人工確認
L21	49	3	4.3 常見陷阱與錯誤觀念	待人工確認
L21	54	1	第 5章 AI導入評估	待人工確認
L21	60	3	模擬題 SIM-L21201-001 ｜ 計算題 ｜ 難度：基礎 ｜ 對應 L21201	待人工確認
L21	67	3	6.1.3 需求轉譯：從業務語言到機器學習問題	待人工確認
L21	79	3	7.2 應用規劃與決策流程	待人工確認
L21	79	2	7.2.1 風險評估五步流程	待人工確認
L21	80	2	7.3 政府指引與產業落地實務	待人工確認
L21	89	3	模擬題 SIM-L21203-005 ｜ 觀念題 ｜ 難度：中級 ｜ 對應 L21203	待人工確認
L21	94	2	8.1.4 類別編碼與特徵縮放	待人工確認
L21	102	3	模擬題 SIM-L21301-001	待人工確認
L21	102	2	模擬題 SIM-L21301-001 ｜ 流程題 ｜ 難度：中級 ｜ 對應 L21301	待人工確認
L21	109	2	9.1.3 四種發布策略	待人工確認
L21	110	2	9.1.5 監控：四層指標	待人工確認
L21	118	3	模擬題 SIM-L21302-001 ｜ 情境題 ｜ 難度：整合 ｜ 對應 L21302	待人工確認
L22	12	3	模擬題 SIM-L22101-003 ｜ 程式判讀 ｜ 難度：中級 ｜ 對應 L22101	待人工確認
L22	15	3	2.1 核心概念與技術原理	待人工確認
L22	15	2	2.1.1 六種常見分佈的辨識	待人工確認
L22	18	2	2.3 正式公告試題索引	待人工確認
L22	23	2	3.1.3 單尾與雙尾	待人工確認
L22	26	2	3.5 正式公告試題索引	待人工確認
L22	32	2	4.1.3 ETL與 ELT	待人工確認
L22	37	3	模擬題 SIM-L22201-001	待人工確認
L22	37	2	模擬題 SIM-L22201-001 ｜ 程式判讀 ｜ 難度：中級 ｜ 對應 L22201	待人工確認
L22	39	3	模擬題 SIM-L22201-004	待人工確認
L22	39	2	模擬題 SIM-L22201-004 ｜ 觀念題 ｜ 難度：基礎 ｜ 對應 L22201	待人工確認
L22	40	2	4.7.3 五分鐘快速複習	待人工確認
L22	45	3	5.1.7 考點補丁：分片、特徵商店與 Text-to-SQL	待人工確認
L22	49	2	模擬題 SIM-L22202-004	待人工確認
L22	49	1	模擬題 SIM-L22202-004 ｜ 程式判讀 ｜ 難度：基礎 ｜ 對應 L22202	待人工確認
L22	50	3	5.6.2 必背名詞	待人工確認
L22	54	3	6.1.5 時間語意與視窗	待人工確認
L22	75	2	第 8章 常見的大數據分析方法	待人工確認
L22	76	3	8.1.1 分析的四個層次	待人工確認
L22	92	3	8.7.3 五分鐘快速複習	待人工確認
L22	95	3	9.2 程式判讀重點	待人工確認
L22	115	3	模擬題 SIM-L22403-001	待人工確認
L22	115	2	模擬題 SIM-L22403-001 ｜ 觀念題 ｜ 難度：中級 ｜ 對應 L22403	待人工確認
L22	120	2	13.1.5 考點補丁：成員推論攻擊與三種去識別機制	待人工確認
L22	121	3	13.3 常見陷阱與錯誤觀念	待人工確認
L22	125	3	模擬題 SIM-L22404-004	待人工確認
L22	125	2	模擬題 SIM-L22404-004 ｜ 法遵題 ｜ 難度：整合 ｜ 對應 L22404	待人工確認
L23	20	3	2.2.1 考點補丁：NumPy 線性代數函式對照	待人工確認
L23	27	2	3.1.3 學習率：最重要的超參數	待人工確認
L23	33	2	模擬題 SIM-L23103-005	待人工確認
L23	33	1	模擬題 SIM-L23103-005 ｜ 程式判讀 ｜ 難度：中級 ｜ 對應 L23103	待人工確認
L23	36	2	4.1.2 正則化：L1與 L2	待人工確認
L23	46	2	5.3 常見陷阱與錯誤觀念	待人工確認
L23	51	2	第 6章 深度學習原理與框架	待人工確認
L23	61	2	6.4 正式公告試題索引	待人工確認
L23	67	1	第 7章 數據準備與特徵工程	待人工確認
L23	68	3	7.1 核心概念與技術原理	待人工確認
L23	68	2	7.1.1 前處理的正確順序	待人工確認
L23	69	3	7.1.4 特徵工程與資料增強	待人工確認
L23	76	2	模擬題 SIM-L23301-006	待人工確認
L23	76	1	模擬題 SIM-L23301-006 ｜ 觀念題 ｜ 難度：中級 ｜ 對應 L23301	待人工確認
L23	77	3	7.6.2 必背名詞	待人工確認
L23	79	2	8.1.2 輸出層與損失函數配置	待人工確認
L23	84	1	第 9章 模型訓練、評估與驗證	待人工確認
L23	89	2	9.1.8 考點補丁：取樣偏差與分布轉移	待人工確認
L23	93	3	模擬題 SIM-L23303-001	待人工確認
L23	93	2	模擬題 SIM-L23303-001 ｜ 計算題 ｜ 難度：中級 ｜ 對應 L23303	待人工確認
L23	102	2	10.1.5 模型壓縮與推論優化	待人工確認
L23	103	3	10.2 程式判讀重點	待人工確認
L23	111	3	11.1 核心概念與技術原理	待人工確認
L23	111	2	11.1.1 六種機器學習專屬攻擊	待人工確認
L23	112	2	11.1.3 護欄的五層設計	待人工確認
L23	118	1	第 12章 演算法偏見與公平性	待人工確認
