評鑑內容代碼,指引有、書缺的主題,學習指引,指引頁碼,建議優先級
L21101,NLP 技術演進（規則式→統計 HMM/CRF/n-gram→深度學習→預訓練）,科目一,3-3、3-5、3-6、3-7、3-13、3-18,P1
L21101,前處理：詞性標注、詞幹提取 vs 詞形還原,科目一,3-7、3-10、3-11、3-12,P1
L21101,詞嵌入家族：CBOW／Skip-gram、FastText、ELMo；語境型 vs 非語境型表示,科目一,3-12、3-13、3-14、3-19、3-20、3-21,P1
L21101,NLU 與 NLG 的區分,科目一,3-4、3-5,P1
L21102,CV 演進：手工特徵→AlexNet/ImageNet→VGG/ResNet→ViT,科目一,3-41、3-43、3-44、3-45、3-49,P1
L21102,影像標註流程、標註準則、工具與自動標註,科目一,3-45、3-46,P1
L21102,FCN、區域提議網路（RPN）、OCR／車牌辨識等應用,科目一,3-43、3-45、3-50、3-51、3-53,P1
L21103,語音合成（TTS）、語音複製、影片生成,科目一,3-61、3-64、3-65、3-68、3-69、3-70,P1
L21103,深偽濫用、紅隊測試、可控生成（ControlNet）、AI 代理（Agentic）,科目一,3-59、3-64、3-67、3-68、3-71、3-72,P1
L21104,代表模型 CLIP、BLIP/BLIP-2、Flamingo；VQA、影像字幕、圖文檢索,科目一,3-74、3-75、3-76、3-77、3-81、3-85,P1
L21201,風險矩陣（可能性×影響）、As-Is／To-Be 流程、數位成熟度,科目一,4-3、4-7、4-11、4-12,P1
L21202,任務分解與時程：甘特圖、WBS、Sprint；跨部門協作與追蹤工具,科目一,4-19、4-20、4-21、4-22、4-23、4-27,P0
L21202,導入方式選擇：低程式碼平台／內部自建／委外；規劃成果文件,科目一,4-24、4-25、4-27,P0
L21203,國際隱私法規與資料主體權利（GDPR 各項權利、HIPAA、PCI-DSS、CCPA）,科目一,4-32、4-33、4-34、4-35、4-41、4-47,P0
L21203,國際 AI 倫理原則（OECD、UNESCO、歐盟 AI HLEG）與企業倫理委員會,科目一,4-39,P0
L21203,行政／技術／實體三類安全保護措施,科目一,4-35,P1
L21301,AutoML、強化學習基本元素（DQN、PPO）,科目一,5-5、5-6、5-7、5-8、5-11、5-12,P1
L21302,微服務、容器（Docker）、CI/CD、滾動更新、熱更新（書目前標為產業延伸）,科目一,5-16、5-19、5-20、5-21、5-24,P0
L21302,可擴充與高可用設計：冗餘、容錯切換、負載平衡（對應 115.06 新增備註）,科目一,5-16、5-17,P0
L22101,峰度三型、幾何平均與調和平均、箱形圖上下鬚,科目二,3-2、3-4、3-9、3-10、3-11、3-12,P1
L22102,PMF／PDF、卡方分佈與自由度、無記憶性、分佈擬合,科目二,3-15、3-20、3-21、3-22,P1
L22103,檢定方法全貌：比例檢定、ANOVA 與事後檢定、Levene、Mann-Whitney、Kruskal-Wallis、Friedman、Fisher 精確檢定,科目二,3-26、3-27、3-32、3-34、3-36、3-37,P0
L22103,點估計與區間估計、檢定力分析,科目二,3-24、3-31,P0
L22201,資料收集管道（API、網站日誌、IoT）與品質比率指標,科目二,4-3、4-8,P2
L22202,開放表格式（Delta Lake、Iceberg、Hudi）、強一致性 vs 最終一致性、分區與副本,科目二,4-11、4-13、4-15、4-16、4-17,P1
L22202,存取控制模型、最小權限、零信任（微分段、JIT、持續驗證）、資料目錄,科目二,4-18、4-19,P1
L22203,Flink、Dataflow/Beam、Airflow；特徵工程與資料增強（本節含）,科目二,4-23、4-25、4-26、4-27、4-28、4-29,P1
L22301,大數據下的統計推論陷阱：p 值膨脹、非隨機樣本偏誤、多重檢定、非獨立性、母體定義,科目二,5-3、5-4、5-5、5-7、5-9,P0
L22302,異常偵測演算法（孤立森林、LOF、Z-score）,科目二,5-27,P1
L22302,時序（移動平均、指數平滑、Prophet）、地理空間分析（GWR、熱點）、串流摘要（Count-Min Sketch）,科目二,5-12、5-15、5-16、5-17、5-23、5-24,P1
L22303,視覺化工具版圖（Tableau、Grafana、Superset、Metabase、Plotly…）、KDE 與分箱,科目二,5-32、5-40、5-41、5-42、5-43、5-44,P2
L22401,混合精度訓練、梯度累積、檢查點、持續學習,科目二,6-6、6-10、6-11,P1
L22402,資料型態與標註策略（群眾外包、弱監督、主動式學習）,科目二,6-16、6-21、6-22,P1
L22404,GDPR 合法依據、CCPA、模型卡、資料管理員,科目二,6-30、6-31、6-34、6-35、6-36、6-38,P1
