代碼,書中主題,學習指引情況,書中位置
L21103,RLHF 三階段與替代對齊方法,指引僅 3-72 一句帶過（與紅隊測試並列）,L21 第 3 章
L21202,CRISP-DM 六階段,指引 0 次,L21 第 6 章
L21302,影子部署；PSI 判讀基準,指引科目一 0 次,L21 第 9 章
L21203 等,人工智慧基本法、風險分類框架、金管會 AI 指引、行政院生成式 AI 指引,三科指引 0 次（指引撰於 114.09–10，早於基本法與框架）,三冊法制時間軸、各章政府節
L22202,OLTP／OLAP、列式 vs 欄式儲存、CAP 定理,指引 0 次,L22 第 5 章
L22302,關聯規則三指標（支持度、信賴度、提升度）,科目二指引僅 3 處提及關聯規則，無三指標,L22 第 8 章
L22302、L23303,AUPRC、PR 曲線,三科指引 0 次,L22 第 8 章、L23 第 9 章
L23304,巢狀交叉驗證、GridSearchCV 屬性,指引 1 次／0 次,L23 第 10 章
L23401,ML 專屬攻擊（資料毒化、對抗樣本、模型竊取、成員推論、模型反演）、提示注入、越獄、護欄五層,科目三指引 0 次,L23 第 11 章主體
L23402,均等賠率、不可能定理、反事實解釋、代理變數,科目三指引 0 次,L23 第 12 章
