冊別,考點（編者用語，非題目原文）,公告試題（場次 科目 題號（官方答案，出現位置））,本冊覆蓋,他冊覆蓋,本科學習指引頁碼,他科學習指引頁碼,建議優先級
L21,DBSCAN 密度分群（eps／MinPts、雜訊點、維度詛咒）,114-2 L21 Q11（C，題幹）；114-2 L21 Q48（B，題幹）；115-1 L21 Q31（A，題幹+正解）,本冊 0 次,L22 17 次、L23 9 次,5-9,科目二 5-25；科目三 4-43、5-12,P0
L21,超參數搜尋（網格／隨機／貝氏）與交叉驗證選參,114-2 L21 Q14（A，題幹+正解）；114-2 L21 Q36（B，正解）,本冊 0 次,L23 49 次,3-63,科目二 4-24；科目三 4-1、4-5、4-6、4-8,P0
L21,調參與評估共用同一組折→樂觀偏差（巢狀 CV 的動機）,114-2 L21 Q41（A，題幹+正解）,本冊 0 次,L23 15 次,本科指引無,—,P0
L21,ARIMA、自相關函數（ACF）、時滯與殘差診斷,114-2 L21 Q39（C，題幹）,本冊 0 次,L22 1 次,本科指引無,科目二 3-22、5-7、5-8、5-15；科目三 5-13,P0
L21,資料湖 vs 資料倉儲（原始非結構 vs 整理後結構化）,115-1 L21 Q39（A，題幹）；115-1 L21 Q20（A，題幹）,本冊 0 次,L22 13 次,4-4、4-7、5-14,科目二 4-1、4-4、4-9、4-10,P0
L21,對抗性攻擊與防禦（對抗樣本訓練、輸入過濾、後處理規則）,114-2 L21 Q24（D，題幹）,本冊 0 次,L23 11 次,本科指引無,—,P0
L21,不可否認性：雜湊＋數位簽章（稽核軌跡）,114-2 L21 Q30（A，題幹+正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L21,詞性標註（POS Tagging）,115-1 L21 Q01（D，題幹）,本冊 0 次,他冊亦無,3-7、3-10、3-11、3-12,科目二 5-21、5-22、5-47,P0
L21,ROC 曲線（TPR／FPR 軸定義）,115-1 L21 Q08（B，題幹）,本冊 0 次,L22 9 次、L23 13 次,本科指引無,科目二 6-15；科目三 4-27、4-29、4-32、4-35,P0
L21,OCR 與 NER 流程,114-2 L21 Q47（C，題幹）,本冊 0 次,他冊亦無,3-45,—,P0
L21,類別激活圖（CAM）等 CV 可解釋性,115-1 L21 Q29（C，正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L21,全景分割（Panoptic Segmentation）,114-2 L21 Q34（D，正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L21,斷路器模式、逾時、級聯失效,115-1 L21 Q45（B，題幹+正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L21,NLP 資料擴增：反向翻譯（Back-Translation）,114-2 L21 Q19（B，正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L21,多重共線性與處理,114-2 L21 Q26（D，題幹）；114-2 L21 Q12（B，題幹）,本冊 0 次,L23 4 次,本科指引無,科目二 5-33、5-34；科目三 3-16、4-12、4-14、4-15,P0
L22,類別編碼：Label Encoding 誤植順序、One-Hot,114-2 L22 Q17（B，題幹+正解）,本冊 0 次,L21 7 次、L23 9 次,4-22,科目一 3-12、3-14、3-15、3-16；科目三 5-8、5-10、5-53、5-55,P0
L22,ACID 四性（原子性、一致性、隔離性、持久性）,114-2 L22 Q07（C，題幹+正解）；114-2 L22 Q18（A，題幹+正解）,本冊 0 次,他冊亦無,4-16,—,P0
L22,PDF 與 CDF,114-2 L22 Q04（B，題幹+正解）,本冊 0 次,他冊亦無,3-14、3-15、3-18、3-19、3-21,科目三 3-4、3-28、3-30、4-94,P0
L22,單一樣本 t 檢定,114-2 L22 Q23（C，題幹）,本冊 0 次,L23 1 次,3-27、3-32、3-33、3-37、3-47、3-48,科目三 3-9,P0
L22,近似分位數（串流摘要）,114-2 L22 Q27（D，題幹）,本冊 0 次,他冊亦無,4-21、5-9、5-11、5-13、5-14,—,P0
L22,分位數迴歸（尾部風險）,114-2 L22 Q33（D，正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L22,知識圖譜、RDF 三元組、圖資料庫的邊屬性,114-2 L22 Q35（B，題幹+正解）；114-2 L22 Q34（B，題幹+正解）,本冊 0 次,他冊亦無,5-18、5-19,科目一 3-32,P0
L22,資料庫選型：文件型、向量資料庫、關聯式（ACID）,115-1 L22 Q13（B，正解）,本冊 0 次,L21 2 次、L23 1 次,4-10、4-14、4-30、4-32,—,P0
L22,SVD 與潛在語意分析（LSA）,115-1 L22 Q16（A，題幹）,本冊 0 次,L23 8 次,本科指引無,科目三 3-14、5-6,P0
L22,迴歸評估：RMSE、MAPE,115-1 L22 Q22（C，正解）,本冊 0 次,L23 6 次,本科指引無,科目三 4-13、4-15、4-18、4-20,P0
L22,Pearson／Spearman／Kendall 相關係數比較,115-1 L22 Q24（C，題幹）,本冊 0 次,他冊亦無,本科指引無,—,P0
L22,多類別羅吉斯迴歸（Softmax）,115-1 L22 Q33（A，正解）,本冊 0 次,L21 4 次、L23 33 次,3-32、3-38、5-35,科目一 3-48；科目三 3-10、4-3、4-25、4-28,P0
L22,局部極小值（最佳化）,115-1 L22 Q30（B，正解）,本冊 0 次,他冊亦無,本科指引無,科目三 3-21、5-31、5-32、5-33,P0
L22,服務水準協議（SLA）,115-1 L22 Q29（D，題幹）,本冊 0 次,L21 2 次,本科指引無,科目一 4-41,P0
L23,加密基礎：對稱／非對稱、單向雜湊、同態加密,114-2 L23 Q36（D，題幹）；114-2 L23 Q37（B，正解）；115-1 L23 Q36（B，正解）,本冊 0 次,L22 5 次,6-11,科目二 6-34,P0
L23,XGBoost 的正則化目標函數（vs GBDT）,114-2 L23 Q18（A，題幹）；115-1 L23 Q16（A，題幹）；115-1 L23 Q34（D，題幹）,本冊 0 次,他冊亦無,4-22、4-23、4-24、4-36、4-37、4-40,科目二 6-15、6-18,P0
L23,信用評分卡開發流程,114-2 L23 Q25（A，題幹）,本冊 0 次,他冊亦無,本科指引無,—,P0
L23,經典 CNN 架構：VGG 參數量、ResNet 殘差連接、GoogLeNet,114-2 L23 Q41（D，正解）；115-1 L23 Q17（B，正解）；115-1 L23 Q49（C，正解）,本冊 0 次,L21 2 次,4-71,科目一 3-43、3-45、3-49、3-60；科目二 6-18,P0
L23,標籤偏差（Label Bias）,114-2 L23 Q13（B，題幹）,本冊 0 次,他冊亦無,本科指引無,—,P0
L23,早停的耐心值（Patience）,114-2 L23 Q31（B，正解）,本冊 0 次,他冊亦無,5-19、5-46,—,P0
L23,CNN 局部感受野與參數共享,114-2 L23 Q06（C，正解）,本冊 2 次（未涵蓋所考面向）,L21 9 次,4-68、4-70、4-73、4-74,—,P1
L23,蒙地卡羅方法,114-2 L23 Q23（A，正解）；115-1 L23 Q01（C，正解）,本冊 0 次,他冊亦無,本科指引無,科目二 5-7,P0
L23,殘差圖判讀：異質變異（殘差擴散）,115-1 L23 Q05（C，題幹+正解）,本冊 0 次,他冊亦無,本科指引無,科目二 3-44,P0
L23,t-SNE vs PCA 的用途邊界,115-1 L23 Q06（B，題幹+正解）,本冊 0 次,L22 18 次,4-45、4-46、4-47、5-6,科目一 5-5,P0
L23,RAG 檢索改善：混合搜尋（BM25＋向量）與 RRF,115-1 L23 Q22（C，正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L23,BERT（雙向編碼）vs GPT（自迴歸生成）,115-1 L23 Q23（D，題幹+正解）,本冊 0 次,L21 5 次,4-78、4-82、4-83,科目一 3-2、3-3、3-5、3-8；科目二 5-9、5-15、6-9、6-42,P0
L23,偏態特徵的對數轉換何時有害,115-1 L23 Q25（A，題幹+正解）,本冊 0 次,L21 1 次、L22 9 次,3-8、5-3、5-7、5-53、5-56,科目一 5-6,P0
L23,滑動窗口與滯後特徵,115-1 L23 Q26（D，題幹+正解）,本冊 0 次,他冊亦無,5-10,科目一 5-6；科目二 6-3,P0
L23,強化學習的獎勵塑形（Reward Shaping）,115-1 L23 Q31（A，題幹+正解）,本冊 0 次,他冊亦無,本科指引無,—,P0
L23,LoRA 的 rank 與記憶體取捨,115-1 L23 Q35（D，題幹+正解）,本冊 0 次,L21 9 次,本科指引無,科目一 3-28、3-29、3-68、3-81,P0
L23,線性判別分析（LDA）降維,115-1 L23 Q44（B，題幹+正解）,本冊 0 次,L22 1 次,3-13、3-14、5-6,—,P0
L23,非監督／半監督異常偵測,115-1 L23 Q29（B，題幹+正解）,本冊 1 次（未涵蓋所考面向）,L21 4 次、L22 4 次,3-16、4-50、4-51、4-86、4-87、5-25,科目一 5-3、5-10、5-12、5-20；科目二 3-2、3-10、4-8、4-32,P1
