# check_book.py --strict 的已審警告清單（115.09.25 建立）。每條都須寫保留理由；新增前先確認不能改寫正文。
# 比對方式：冊別（* 為三冊）＋檢查類別＋命中字（* 為任一）＋上下文正規式；不看行號，改稿後仍有效。
volume	check	found	context_regex	reason
*	用語	*	用語對照「	附錄 B 勘誤表說明欄，須寫出「誤詞→正詞」才能說明勘誤內容
*	用語	*	\| (反饋|提取|響應|合同|用戶|運營|支持|創建|攝像頭|通過|檢測|水平|高并發|個性化) \| (回饋|擷取|回應|合約|使用者|營運|支援|製作|鏡頭|透過|偵測|品質|高併發|個人化) \|	附錄 B「誤／正」用語對照表本身
*	用語	通過	院會通過	法定程序用語（行政院院會通過），非「透過」
*	用語	通過	多邊機構通過	國際組織通過決議，非「透過」
*	用語	通過	通過核准	申請過關之意，非「透過」
*	用語	支持	支持度	關聯規則專有名詞 support，教材與考卷通用
*	用語	支持	(無法條|不足以)支持	「以證據支持論點」的原義，非「支援」
*	用語	水平	水平(擴充|擴縮|擴展|切開|分割)	horizontal scaling／partitioning 的標準譯名，非「品質」
*	用語	檢測	(瑕疵|缺陷|產線)檢測	工業瑕疵檢測為臺灣慣用語，勘誤僅針對人臉偵測
*	用語	檢測	檢測(靈敏度|為陽性)	醫學檢驗用語，非物件偵測
L21	統計數字	佔 2%	.*	SIM-L21303 模擬題的題目條件（違約者比例），不是命題統計；若他處再出現「佔 2%」須重審
