ID	Volume	Index chapter	Mapped section	Mapped heading	Official question stem excerpt
OFFICIAL-114-2-L21-Q01	L21	ch01.md	1.1.4	核心任務與評估指標	某電商企業希望利用自然語言處理（NLP）技術，分析顧客在社群平 B 台與商品評論中的文字內容，以即時掌握顧客對產品的滿意度變化。 若採用情感分析（Sentiment Analysis）模型，其主要目的為何？
OFFICIAL-114-2-L21-Q02	L21	ch01.md	1.1.2	序列模型：三次躍遷	某跨國金融科技公司導入 Transformer 架構開發多語客服系統，以提 升長篇金融文件的自動翻譯品質。下列何者為該模型能顯著改善翻譯 準確度的主要原因？
OFFICIAL-114-2-L21-Q03	L21	ch01.md	1.1.3	三大預訓練架構的任務對位	某企業計畫應用 BERT（Bidirectional Encoder Representations from Transformers）模型分析大量顧客意見，以強化客服自動回覆 系統。在 BERT 的預訓練過程中，「遮罩語言模型（Masked Language Model, MLM）」的主要訓練策略為何？
OFFICIAL-114-2-L21-Q04	L21	ch01.md	1.1.7	考點補丁：統計語言模型與詞向量訓練（N-gram、Word2Vec、GloVe）	在詞向量（Word Embedding）訓練方法中，GloVe（Global Vectors for Word Representation）與 Word2Vec 的主要差異為何？
OFFICIAL-114-2-L21-Q05	L21	ch01.md	1.1.7	考點補丁：統計語言模型與詞向量訓練（N-gram、Word2Vec、GloVe）	某企業以詞頻–逆文件頻率（Term Frequency–Inverse Document Frequency, TF-IDF）方法分析顧客意見內容，但發現模型在處理篇 幅較長的回饋文本時，無法準確反映關鍵詞的重要性。下列何者為造 成此現象的主要原因？
OFFICIAL-114-2-L21-Q06	L21	ch01.md	1.1.7	考點補丁：統計語言模型與詞向量訓練（N-gram、Word2Vec、GloVe）	某企業嘗試以 N-gram 語言模型（N-gram Language Model）建立客服 自動回覆系統，但發現模型生成的句子雖在片段上合理，卻缺乏整體 語意連貫性。此問題最可能源自 N-gram 模型的哪一項限制？
OFFICIAL-114-2-L21-Q16	L21	ch01.md	1.1.3	三大預訓練架構的任務對位	下列哪一種情境中最適合使用「序列到序列（Seq2Seq）」模型？
OFFICIAL-114-2-L21-Q18	L21	ch01.md	1.1.8	考點補丁：注意力分布過於平均（Attention Collapse）	當 Transformer 模型發生「注意力分布過於平均（Attention Collapse）」的情形時，導致模型無法有效聚焦於關鍵資訊，下列哪 一項策略可有效改善此問題？
OFFICIAL-114-2-L21-Q19	L21	ch01.md	1.1.6	考點補丁：NLP 資料擴增——反向翻譯	某研究團隊正在訓練一個針對低資源語言（如少數民族語言）的語言 模型，但該語言僅有約 1 萬筆語料可用。在訓練過程中出現明顯的過 擬合現象，若希望在不新增真實語料的前提下提升模型的泛化能力， 採用下列哪一種方法最為適合？
OFFICIAL-114-2-L21-Q33	L21	ch01.md	1.1.7	考點補丁：統計語言模型與詞向量訓練（N-gram、Word2Vec、GloVe）	企業團隊在使用 Word2Vec 模型訓練客服文本語料時，若訓練資料量 龐大且希望模型能更有效捕捉罕見詞的語意關聯，下列哪一種訓練策 略最為適合？
OFFICIAL-114-2-L21-Q47	L21	ch01.md	1.1.9	考點補丁：多任務學習的損失權重	某金融科技公司導入多任務學習架構，讓單一 Transformer 模型同 時執行 OCR（Optical Character Recognition）後的文檔分類以及命 名實體辨識（Named Entity Recognition, NER）任務， 以協助自動歸檔與抽取關鍵金融資訊。在部署初期，團隊發現當模型 的 NER 準確率（Accuracy）提升時，文檔分類準確率反而下降。若模 型架構正確且資料品質良好，下列哪一項最可能是造成此現象的原 因？
OFFICIAL-115-1-L21-Q01	L21	ch01.md	1.1.5	考點補丁：詞性標註（POS Tagging）	某 工 程 師 正 在 建 置 一 套 法 律 文 件 解 析 系 統 ， 在 進 行 資 訊 擷 取 （ Information D Extraction）前，需要對文本進行詞性標註（Part-of-Speech Tagging, POS Tagging） 。 請問此步驟的主要目的為何？
